Title,Artist,Language,Spotify URL,Genre,Movie/Band Name
Bekhayali,Sachet Tandon,Hindi,https://open.spotify.com/search/Bekhayali%20Sachet%20Tandon,Sad,Kabir Singh
Tera Ban Jaunga,Akull & Tulsi Kumar,Hindi,https://open.spotify.com/search/Tera%20Ban%20Jaunga%20Akull%20&%20Tulsi%20Kumar,Romantic,Kabir Singh
Kaun Tujhe,Darshan Raval,Hindi,https://open.spotify.com/search/Kaun%20Tujhe%20Darshan%20Raval,Romantic,M.S.Dhoni
Bolna,Arjit Singh & Asees Kaur,Hindi,https://open.spotify.com/search/Bolna%20Arjit%20Singh%20&%20Asees%20Kaur,Romantic,Kaabil
Humsafar,Akhil Sachdeva,Hindi,https://open.spotify.com/search/Humsafar%20Akhil%20Sachdeva,Romantic,Badrinath Ki Dulhania
Dil Diyan Gallan,Atif Aslam,Hindi,https://open.spotify.com/search/Dil%20Diyan%20Gallan%20Atif%20Aslam,Romantic,Tiger Zinda Hai
Roke Na Ruke Naina,Arijit Singh,Hindi,https://open.spotify.com/search/Roke%20Na%20Ruke%20Naina%20Arijit%20Singh,Romantic,Badrinath Ki Dulhania
Sau Aasmaan,Neeti Mohan & Armaan Malik,Hindi,https://open.spotify.com/search/Sau%20Aasmaan%20Neeti%20Mohan%20&%20Armaan%20Malik,Romantic,Baar Baar Dekho
Jaan Nisaar,Arijit Singh,Hindi,https://open.spotify.com/search/Jaan%20Nisaar%20Arijit%20Singh,Sad,Kedarnath
Dhadak,Shreya Ghoshal & Ajay Gogavale,Hindi,https://open.spotify.com/search/Dhadak%20Shreya%20Ghoshal%20&%20Ajay%20Gogavale,Romantic,Dhadak
Kalank,Arijit Singh,Hindi,https://open.spotify.com/search/Kalank%20Arijit%20Singh,Sad,Kalank
First Class,Arijit Singh,Hindi,https://open.spotify.com/search/First%20Class%20Arijit%20Singh,Happy,Kalank
Ghungroo,Arjit Singh,Hindi,https://open.spotify.com/search/Ghungroo%20Arjit%20Singh,Energetic,War
The Punjaaban,Harrdy Sandhu,Hindi,https://open.spotify.com/search/The%20Punjaaban%20Harrdy%20Sandhu,Energetic,85
Coka 2.0,Neha Kakkar & Tony Kakkar,Hindi,https://open.spotify.com/search/Coka%202.0%20Neha%20Kakkar%20&%20Tony%20Kakkar,Energetic,Solo
Makhna,Neha Kakkar,Hindi,https://open.spotify.com/search/Makhna%20Neha%20Kakkar,Romantic,Makhna
Kamariya,Neha Kakkar,Hindi,https://open.spotify.com/search/Kamariya%20Neha%20Kakkar,Energetic,Mitron
Gali Gali,Neha Kakkar,Hindi,https://open.spotify.com/search/Gali%20Gali%20Neha%20Kakkar,Energetic,KGF Chapter 2
Kusu Kusu,Neha Kakkar,Hindi,https://open.spotify.com/search/Kusu%20Kusu%20Neha%20Kakkar,Energetic,Satyameva Jayate 2
Maar Daala,Neha Kakkar,Hindi,https://open.spotify.com/search/Maar%20Daala%20Neha%20Kakkar,Energetic,Maar Daala
Inni LehraDo,Neha Kakkar,Hindi,https://open.spotify.com/search/Inni%20LehraDo%20Neha%20Kakkar,Energetic,INNI LEHRA DO
Attach,Neha Kakkar,Hindi,https://open.spotify.com/search/Attach%20Neha%20Kakkar,Romantic,Attach
Tu Hi Mera,Shreya Ghoshal,Hindi,https://open.spotify.com/search/Tu%20Hi%20Mera%20Shreya%20Ghoshal,Romantic,Half Girlfriend
Main Rahoon Ya Na Rahoon,Armaan Malik,Hindi,https://open.spotify.com/search/Main%20Rahoon%20Ya%20Na%20Rahoon%20Armaan%20Malik,Romantic,Main Rahoon Ya Na Rahoon
Tujhe Kitna Chahne Lage,Arijit Singh,Hindi,https://open.spotify.com/search/Tujhe%20Kitna%20Chahne%20Lage%20Arijit%20Singh,Romantic,Kabir Singh
Mere Sohneya,Arjit Singh,Hindi,https://open.spotify.com/search/Mere%20Sohneya%20Arjit%20Singh,Romantic,Kabir Singh
Dil Tod Ke,B Praak,Hindi,https://open.spotify.com/search/Dil%20Tod%20Ke%20B%20Praak,Sad,Dil Tod Ke
Zaroorat Se Zyada,Rahat Fateh Ali Khan,Hindi,https://open.spotify.com/search/Zaroorat%20Se%20Zyada%20Rahat%20Fateh%20Ali%20Khan,Romantic,Zaroorat Se Zyada
Mere Liye Tu Hai,Papon,Hindi,https://open.spotify.com/search/Mere%20Liye%20Tu%20Hai%20Papon,Romantic,Mere Liye Tu Hai
Tu Hi Yaar Mera,Papon & Neeti Kakkar,Hindi,https://open.spotify.com/search/Tu%20Hi%20Yaar%20Mera%20Papon%20&%20Neeti%20Kakkar,Romantic,Tu Hi Yaar Mera
Dil Ko Karaar Aaya,Neha Kakkar & Yash Narvekar,Hindi,https://open.spotify.com/search/Dil%20Ko%20Karaar%20Aaya%20Neha%20Kakkar%20&%20Yash%20Narvekar,Romantic,Dil Ko Karaar Aaya
Chhor Denge,Arjit Singh,Hindi,https://open.spotify.com/search/Chhor%20Denge%20Arjit%20Singh,Sad,Chhor Denge
Raanjhana Ve,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Raanjhana%20Ve%20Jubin%20Nautiyal,Sad,Raanjhana Ve
Mere Paas Tum Ho,Rahat Fateh Ali Khan,Hindi,https://open.spotify.com/search/Mere%20Paas%20Tum%20Ho%20Rahat%20Fateh%20Ali%20Khan,Sad,Mere Paas Tum Ho
Ishare Tere,Darshan Raval,Hindi,https://open.spotify.com/search/Ishare%20Tere%20Darshan%20Raval,Romantic,Ishare Tere
Aawargi,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Aawargi%20Jubin%20Nautiyal,Romantic,Aawargi
Dil Galti Kar Baitha Hai,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Dil%20Galti%20Kar%20Baitha%20Hai%20Jubin%20Nautiyal,Sad,Dil Galti Kar Baitha Hai
Hanjugam,Shreya Ghoshal,Hindi,https://open.spotify.com/search/Hanjugam%20Shreya%20Ghoshal,Romantic,Hanjugam
Tera Mera Rishta,B Praak,Hindi,https://open.spotify.com/search/Tera%20Mera%20Rishta%20B%20Praak,Romantic,Tera Mera Rishta
Akh Lad Jaave,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Akh%20Lad%20Jaave%20Jubin%20Nautiyal,Energetic,Akh Lad Jaave
Mera Mann Kehne Laga,Falak Shabir,Hindi,https://open.spotify.com/search/Mera%20Mann%20Kehne%20Laga%20Falak%20Shabir,Romantic,Mera Mann Kehne Laga
Pal,Arjit Singh,Hindi,https://open.spotify.com/search/Pal%20Arjit%20Singh,Romantic,Pal
Srivalli,Javed Ali,Hindi,https://open.spotify.com/search/Srivalli%20Javed%20Ali,Romantic,Pushpa
Kesariya,Arijit Singh,Hindi,https://open.spotify.com/search/Kesariya%20Arijit%20Singh,Romantic,Brahmastra
Apna Bana Le,Arijit Singh,Hindi,https://open.spotify.com/search/Apna%20Bana%20Le%20Arijit%20Singh,Romantic,Bhediya
Deva Deva,Arijit Singh,Hindi,https://open.spotify.com/search/Deva%20Deva%20Arijit%20Singh,Romantic,Brahmastra
Channa Mereya,Arijit Singh,Hindi,https://open.spotify.com/search/Channa%20Mereya%20Arijit%20Singh,Sad,Ae Dil Hai Mushkil
Ae Dil Hai Mushkil,Arijit Singh,Hindi,https://open.spotify.com/search/Ae%20Dil%20Hai%20Mushkil%20Arijit%20Singh,Romantic,Ae Dil Hai Mushkil
Gerua,Shreya Ghoshal & Arijit Singh,Hindi,https://open.spotify.com/search/Gerua%20Shreya%20Ghoshal%20&%20Arijit%20Singh,Romantic,Dilwale
Jabra Fan,Arijit Singh,Hindi,https://open.spotify.com/search/Jabra%20Fan%20Arijit%20Singh,Energetic,Fan
Bekhayali,Sachet Tandon,Hindi,https://open.spotify.com/search/Bekhayali%20Sachet%20Tandon,Sad,Kabir Singh
Tera Ban Jaunga,Akull & Tulsi Kumar,Hindi,https://open.spotify.com/search/Tera%20Ban%20Jaunga%20Akull%20&%20Tulsi%20Kumar,Romantic,Kabir Singh
Kaun Tujhe,Darshan Raval,Hindi,https://open.spotify.com/search/Kaun%20Tujhe%20Darshan%20Raval,Romantic,M.S.Dhoni
Bolna,Arjit Singh & Asees Kaur,Hindi,https://open.spotify.com/search/Bolna%20Arjit%20Singh%20&%20Asees%20Kaur,Romantic,Kaabil
Humsafar,Akhil Sachdeva,Hindi,https://open.spotify.com/search/Humsafar%20Akhil%20Sachdeva,Romantic,Badrinath Ki Dulhania
Dil Diyan Gallan,Atif Aslam,Hindi,https://open.spotify.com/search/Dil%20Diyan%20Gallan%20Atif%20Aslam,Romantic,Tiger Zinda Hai
Roke Na Ruke Naina,Arijit Singh,Hindi,https://open.spotify.com/search/Roke%20Na%20Ruke%20Naina%20Arijit%20Singh,Romantic,Badrinath Ki Dulhania
Sau Aasmaan,Neeti Mohan & Armaan Malik,Hindi,https://open.spotify.com/search/Sau%20Aasmaan%20Neeti%20Mohan%20&%20Armaan%20Malik,Romantic,Baar Baar Dekho
Jaan Nisaar,Arijit Singh,Hindi,https://open.spotify.com/search/Jaan%20Nisaar%20Arijit%20Singh,Sad,Kedarnath
Dhadak,Shreya Ghoshal & Ajay Gogavale,Hindi,https://open.spotify.com/search/Dhadak%20Shreya%20Ghoshal%20&%20Ajay%20Gogavale,Romantic,Dhadak
Kalank,Arijit Singh,Hindi,https://open.spotify.com/search/Kalank%20Arijit%20Singh,Sad,Kalank
First Class,Arijit Singh,Hindi,https://open.spotify.com/search/First%20Class%20Arijit%20Singh,Happy,Kalank
Ghungroo,Arjit Singh,Hindi,https://open.spotify.com/search/Ghungroo%20Arjit%20Singh,Energetic,War
The Punjaaban,Harrdy Sandhu,Hindi,https://open.spotify.com/search/The%20Punjaaban%20Harrdy%20Sandhu,Energetic,85
Coka 2.0,Neha Kakkar & Tony Kakkar,Hindi,https://open.spotify.com/search/Coka%202.0%20Neha%20Kakkar%20&%20Tony%20Kakkar,Energetic,Solo
Makhna,Neha Kakkar,Hindi,https://open.spotify.com/search/Makhna%20Neha%20Kakkar,Romantic,Makhna
Kamariya,Neha Kakkar,Hindi,https://open.spotify.com/search/Kamariya%20Neha%20Kakkar,Energetic,Mitron
Gali Gali,Neha Kakkar,Hindi,https://open.spotify.com/search/Gali%20Gali%20Neha%20Kakkar,Energetic,KGF Chapter 2
Kusu Kusu,Neha Kakkar,Hindi,https://open.spotify.com/search/Kusu%20Kusu%20Neha%20Kakkar,Energetic,Satyameva Jayate 2
Maar Daala,Neha Kakkar,Hindi,https://open.spotify.com/search/Maar%20Daala%20Neha%20Kakkar,Energetic,Maar Daala
Inni LehraDo,Neha Kakkar,Hindi,https://open.spotify.com/search/Inni%20LehraDo%20Neha%20Kakkar,Energetic,INNI LEHRA DO
Attach,Neha Kakkar,Hindi,https://open.spotify.com/search/Attach%20Neha%20Kakkar,Romantic,Attach
Tu Hi Mera,Shreya Ghoshal,Hindi,https://open.spotify.com/search/Tu%20Hi%20Mera%20Shreya%20Ghoshal,Romantic,Half Girlfriend
Main Rahoon Ya Na Rahoon,Armaan Malik,Hindi,https://open.spotify.com/search/Main%20Rahoon%20Ya%20Na%20Rahoon%20Armaan%20Malik,Romantic,Main Rahoon Ya Na Rahoon
Tujhe Kitna Chahne Lage,Arijit Singh,Hindi,https://open.spotify.com/search/Tujhe%20Kitna%20Chahne%20Lage%20Arijit%20Singh,Romantic,Kabir Singh
Mere Sohneya,Arjit Singh,Hindi,https://open.spotify.com/search/Mere%20Sohneya%20Arjit%20Singh,Romantic,Kabir Singh
Dil Tod Ke,B Praak,Hindi,https://open.spotify.com/search/Dil%20Tod%20Ke%20B%20Praak,Sad,Dil Tod Ke
Zaroorat Se Zyada,Rahat Fateh Ali Khan,Hindi,https://open.spotify.com/search/Zaroorat%20Se%20Zyada%20Rahat%20Fateh%20Ali%20Khan,Romantic,Zaroorat Se Zyada
Mere Liye Tu Hai,Papon,Hindi,https://open.spotify.com/search/Mere%20Liye%20Tu%20Hai%20Papon,Romantic,Mere Liye Tu Hai
Tu Hi Yaar Mera,Papon & Neeti Kakkar,Hindi,https://open.spotify.com/search/Tu%20Hi%20Yaar%20Mera%20Papon%20&%20Neeti%20Kakkar,Romantic,Tu Hi Yaar Mera
Dil Ko Karaar Aaya,Neha Kakkar & Yash Narvekar,Hindi,https://open.spotify.com/search/Dil%20Ko%20Karaar%20Aaya%20Neha%20Kakkar%20&%20Yash%20Narvekar,Romantic,Dil Ko Karaar Aaya
Chhor Denge,Arjit Singh,Hindi,https://open.spotify.com/search/Chhor%20Denge%20Arjit%20Singh,Sad,Chhor Denge
Raanjhana Ve,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Raanjhana%20Ve%20Jubin%20Nautiyal,Sad,Raanjhana Ve
Mere Paas Tum Ho,Rahat Fateh Ali Khan,Hindi,https://open.spotify.com/search/Mere%20Paas%20Tum%20Ho%20Rahat%20Fateh%20Ali%20Khan,Sad,Mere Paas Tum Ho
Ishare Tere,Darshan Raval,Hindi,https://open.spotify.com/search/Ishare%20Tere%20Darshan%20Raval,Romantic,Ishare Tere
Aawargi,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Aawargi%20Jubin%20Nautiyal,Romantic,Aawargi
Dil Galti Kar Baitha Hai,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Dil%20Galti%20Kar%20Baitha%20Hai%20Jubin%20Nautiyal,Sad,Dil Galti Kar Baitha Hai
Hanjugam,Shreya Ghoshal,Hindi,https://open.spotify.com/search/Hanjugam%20Shreya%20Ghoshal,Romantic,Hanjugam
Tera Mera Rishta,B Praak,Hindi,https://open.spotify.com/search/Tera%20Mera%20Rishta%20B%20Praak,Romantic,Tera Mera Rishta
Akh Lad Jaave,Jubin Nautiyal,Hindi,https://open.spotify.com/search/Akh%20Lad%20Jaave%20Jubin%20Nautiyal,Energetic,Akh Lad Jaave
Mera Mann Kehne Laga,Falak Shabir,Hindi,https://open.spotify.com/search/Mera%20Mann%20Kehne%20Laga%20Falak%20Shabir,Romantic,Mera Mann Kehne Laga
Pal,Arjit Singh,Hindi,https://open.spotify.com/search/Pal%20Arjit%20Singh,Romantic,Pal
Srivalli,Javed Ali,Hindi,https://open.spotify.com/search/Srivalli%20Javed%20Ali,Romantic,Pushpa
Kesariya,Arijit Singh,Hindi,https://open.spotify.com/search/Kesariya%20Arijit%20Singh,Romantic,Brahmastra
Apna Bana Le,Arijit Singh,Hindi,https://open.spotify.com/search/Apna%20Bana%20Le%20Arijit%20Singh,Romantic,Bhediya
Deva Deva,Arijit Singh,Hindi,https://open.spotify.com/search/Deva%20Deva%20Arijit%20Singh,Romantic,Brahmastra
Channa Mereya,Arijit Singh,Hindi,https://open.spotify.com/search/Channa%20Mereya%20Arijit%20Singh,Sad,Ae Dil Hai Mushkil
Ae Dil Hai Mushkil,Arijit Singh,Hindi,https://open.spotify.com/search/Ae%20Dil%20Hai%20Mushkil%20Arijit%20Singh,Romantic,Ae Dil Hai Mushkil
Gerua,Shreya Ghoshal & Arijit Singh,Hindi,https://open.spotify.com/search/Gerua%20Shreya%20Ghoshal%20&%20Arijit%20Singh,Romantic,Dilwale
Jabra Fan,Arijit Singh,Hindi,https://open.spotify.com/search/Jabra%20Fan%20Arijit%20Singh,Energetic,Fan
Bekhayali,Sachet Tandon,Hindi,https://open.spotify.com/search/Bekhayali%20Sachet%20Tandon,Sad,Kabir Singh
Tera Ban Jaunga,Akull & Tulsi Kumar,Hindi,https://open.spotify.com/search/Tera%20Ban%20Jaunga%20Akull%20&%20Tulsi%20Kumar,Romantic,Kabir Singh
Kaun Tujhe,Darshan Raval,Hindi,https://open.spotify.com/search/Kaun%20Tujhe%20Darshan%20Raval,Romantic,M.S.Dhoni
Bolna,Arjit Singh & Asees Kaur,Hindi,https://open.spotify.com/search/Bolna%20Arjit%20Singh%20&%20Asees%20Kaur,Romantic,Kaabil
Humsafar,Akhil Sachdeva,Hindi,https://open.spotify.com/search/Humsafar%20Akhil%20Sachdeva,Romantic,Badrinath Ki Dulhania
Dil Diyan Gallan,Atif Aslam,Hindi,https://open.spotify.com/search/Dil%20Diyan%20Gallan%20Atif%20Aslam,Romantic,Tiger Zinda Hai
Roke Na Ruke Naina,Arijit Singh,Hindi,https://open.spotify.com/search/Roke%20Na%20Ruke%20Naina%20Arijit%20Singh,Romantic,Badrinath Ki Dulhania
Sau Aasmaan,Neeti Mohan & Armaan Malik,Hindi,https://open.spotify.com/search/Sau%20Aasmaan%20Neeti%20Mohan%20&%20Armaan%20Malik,Romantic,Baar Baar Dekho
Jaan Nisaar,Arijit Singh,Hindi,https://open.spotify.com/search/Jaan%20Nisaar%20Arijit%20Singh,Sad,Kedarnath
Dhadak,Shreya Ghoshal & Ajay Gogavale,Hindi,https://open.spotify.com/search/Dhadak%20Shreya%20Ghoshal%20&%20Ajay%20Gogavale,Romantic,Dhadak
Kalank,Arijit Singh,Hindi,https://open.spotify.com/search/Kalank%20Arijit%20Singh,Sad,Kalank
First Class,Arijit Singh,Hindi,https://open.spotify.com/search/First%20Class%20Arijit%20Singh,Happy,Kalank
Ghungroo,Arjit Singh,Hindi,https://open.spotify.com/search/Ghungroo%20Arjit%20Singh,Energetic,War
The Punjaaban,Harrdy Sandhu,Hindi,https://open.spotify.com/search/The%20Punjaaban%20Harrdy%20Sandhu,Energetic,85
Coka 2.0,Neha Kakkar & Tony Kakkar,Hindi,https://open.spotify.com/search/Coka%202.0%20Neha%20Kakkar%20&%20Tony%20Kakkar,Energetic,Solo
Makhna,Neha Kakkar,Hindi,https://open.spotify.com/search/Makhna%20Neha%20Kakkar,Romantic,Makhna
Kamariya,Neha Kakkar,Hindi,https://open.spotify.com/search/Kamariya%20Neha%20Kakkar,Energetic,Mitron
Gali Gali,Neha Kakkar,Hindi,https://open.spotify.com/search/Gali%20Gali%20Neha%20Kakkar,Energetic,KGF Chapter 2
Kusu Kusu,Neha Kakkar,Hindi,https://open.spotify.com/search/Kusu%20Kusu%20Neha%20Kakkar,Energetic,Satyameva Jayate 2
Maar Daala,Neha Kakkar,Hindi,https://open.spotify.com/search/Maar%20Daala%20Neha%20Kakkar,Energetic,Maar Daala
Inni LehraDo,Neha Kakkar,Hindi,https://open.spotify.com/search/Inni%20LehraDo%20Neha%20Kakkar,Energetic,INNI LEHRA DO
Attach,Neha Kakkar,Hindi,https://open.spotify.com/search/Attach%20Neha%20Kakkar,Romantic,Attach
Tu Hi Mera,Shreya Ghoshal,Hindi,https://open.spotify.com/search/Tu%20Hi%20Mera%20Shreya%20Ghoshal,Romantic,Half Girlfriend
Main Rahoon Ya Na Rahoon,Armaan Malik,Hindi,https://open.spotify.com/search/Main%20Rahoon%20Ya%20Na%20Rahoon%20Armaan%20Malik,Romantic,Main Rahoon Ya Na Rahoon
Tujhe Kitna Chahne Lage,Arijit Singh,Hindi,https://open.spotify.com/search/Tujhe%20Kitna%20Chahne%20Lage%20Arijit%20Singh,Romantic,Kabir Singh
Mere Sohneya,Arjit Singh,Hindi,https://open.spotify.com/search/Mere%20Sohneya%20Arjit%20Singh,Romantic,Kabir Singh
Dil Tod Ke,B Praak,Hindi,https://open.spotify.com/search/Dil%20Tod%20Ke%20B%20Praak,Sad,Dil Tod Ke
